4250 0.000425 8.72422 0 4.30294e-05 -1.03076e-06 0 -5.01732  -8.03879 -3.72678e+06 -2.96763e-05 3.61956e-06 -0.0085 -43.0553  4.73579 3.73877e+06 
4500 0.00045 7.87268 0 4.54071e-05 -1.22968e-06 0 0.0756453  -9.40785 -3.93527e+06 -3.18746e-05 3.83025e-06 -0.009 -29.2679  -8.14995 3.97647e+06 
4750 0.000475 7.19101 0 4.78956e-05 -1.34306e-06 0 17.6915  1.88495 -4.17059e+06 -3.37809e-05 3.97566e-06 -0.0095 -11.1187  -7.16624 4.16966e+06 
5000 0.0005 8.85228 0 5.02748e-05 -1.41006e-06 0 1.2202  -14.9071 -4.38086e+06 -3.58361e-05 4.19646e-06 -0.01 -40.4498  31.1606 4.4058e+06 
5250 0.000525 7.31988 0 5.26764e-05 -1.42513e-06 0 34.3612  -6.91491 -4.59541e+06 -3.80896e-05 4.41397e-06 -0.0105 -35.9883  9.5357 4.62726e+06 
5500 0.00055 7.97958 0 5.48222e-05 -1.63636e-06 0 18.7592  -2.86428 -4.83176e+06 -4.0155e-05 4.61051e-06 -0.011 -10.0067  6.37093 4.82616e+06 
5750 0.000575 8.33467 0 5.70279e-05 -1.78926e-06 0 40.9684  -8.27237 -5.03754e+06 -4.24849e-05 4.72378e-06 -0.0115 -17.9158  2.28727 5.06995e+06 
6000 0.0006 7.0463 0 5.9501e-05 -1.74814e-06 0 16.2646  -81.3251 -5.259e+06 -4.43525e-05 4.47551e-06 -0.012 60.5973  -117.114 5.28008e+06 
6250 0.000625 8.41455 0 6.47945e-05 -6.04136e-06 0 1.63761  5.474 -5.48244e+06 -4.18445e-05 -7.09855e-07 -0.0125 5.43567  -26.2356 5.49383e+06 
6500 0.00065 7.73792 0 7.34302e-05 -1.31335e-05 0 130.376  -191.554 -5.68693e+06 -3.43094e-05 -9.95991e-06 -0.013 162.347  -93.4639 5.73653e+06 
6750 0.000675 7.16224 0 8.80398e-05 -2.15907e-05 0 189.435  -15.3999 -5.8883e+06 -2.53683e-05 -1.57696e-05 -0.0135 -403.548  131.123 5.97402e+06 
7000 0.0007 8.14835 0 9.39363e-05 -1.9573e-05 0 13.1639  -238.176 -6.1185e+06 -3.77636e-05 -1.88267e-05 -0.014 0.593819  -25.8141 6.16637e+06 
7250 0.000725 8.06673 0 0.000100395 -2.32152e-05 0 -78.3305  -4.71206 -6.32813e+06 -4.10587e-05 -1.89961e-05 -0.0145 -56.2293  -142.143 6.41066e+06 
7500 0.00075 7.26678 0 0.000102286 -2.37632e-05 0 -192.753  -324.179 -6.53327e+06 -4.55107e-05 -1.23668e-05 -0.015 -34.3318  -89.7182 6.65882e+06 
7750 0.000775 8.49796 0 9.76695e-05 -2.23092e-05 0 -164.306  187.298 -6.75985e+06 -4.17178e-05 -1.16502e-05 -0.0155 -283.575  -269.199 6.89099e+06 
8000 0.0008 8.00712 0 9.44881e-05 -1.89485e-05 0 -225.028  -77.1354 -6.96098e+06 -3.71226e-05 -1.70759e-05 -0.016 75.8458  442.721 7.11907e+06 
8250 0.000825 7.54395 0 9.33255e-05 -2.11057e-05 0 36.9755  -233.716 -7.17005e+06 -3.12384e-05 -1.81852e-05 -0.0165 -394.771  429.533 7.32453e+06 
8500 0.00085 8.19152 0 9.69042e-05 -2.69856e-05 0 603.956  101.068 -7.34281e+06 -3.88325e-05 -1.38368e-05 -0.017 -617.784  -262.575 7.60729e+06 
8750 0.000875 8.32051 0 9.04979e-05 -2.64276e-05 0 -581.142  135.101 -7.53392e+06 -4.2878e-05 -1.6383e-05 -0.0175 116.392  -371.942 7.81132e+06 
9000 0.0009 8.60566 0 8.89419e-05 -2.5291e-05 0 229.098  -183.727 -7.77069e+06 -4.54696e-05 -1.25815e-05 -0.018 -809.532  492.62 8.00302e+06 
